"ElapsedMs","WallClock","Handle","Class","Flags"
"5","15:34:07.000","0xB2210A5","unknown:0xB2210A5","1"
"103.5","15:34:07.098","0x10003","ARROW","1"
"119.5","15:34:07.114","0x10013","unknown:0x10013","1"
"132","15:34:07.127","0x10003","ARROW","1"
"1132.4","15:34:08.127","0x10013","unknown:0x10013","1"
"1148.8","15:34:08.144","0x10003","ARROW","1"
"1212.5","15:34:08.207","0xB2210A5","unknown:0xB2210A5","1"
"3541.1","15:34:10.536","0x15311E3F","unknown:0x15311E3F","1"
"3552.1","15:34:10.547","0x10003","ARROW","1"
